ID,Impact Bond Name - (Value),Alternative Names - (Value),Stage of Development - (Value),Stage of Development - (Source ID's),Social Investment Prototype - (Value),Dates - Date outcomes contract signed - (Value),Dates - Date contracts between all parties signed - (Value),Dates - Anticipated completion date - (Value),Dates - Actual completion date - (Value),Dates - Start date of service provision - (Value),Dates - Anticipated end date of service provision - (Value),Dates - Actual end date of service provision - (Value),Dates - Anticipated duration of service provision - (Value),Dates - Actual duration of service provision - (Value),Dates - (Source ID's),Dates - (Notes),Jurisdiction - Jurisdiction - (Value),Jurisdiction - (Source ID's),Jurisdiction - (Notes),Overall project finance - Total investment commitment - Currency - (Value),Overall project finance - Total investment commitment - Amount - Min - (Value),Overall project finance - Total investment commitment - Amount - Exact - (Value),Overall project finance - Total investment commitment - Amount - Max - (Value),Overall project finance - Total investment commitment - Amount USD - Min - (Value),Overall project finance - Total investment commitment - Amount USD - Exact - (Value),Overall project finance - Total investment commitment - Amount USD - Max - (Value),Overall project finance - Maximum potential outcome payment - Currency - (Value),Overall project finance - Maximum potential outcome payment - Amount - (Value),Overall project finance - Maximum potential outcome payment - Amount USD - (Value),Overall project finance - Maximum potential loss - (Value),Overall project finance - Maximum potential return type - (Value),Overall project finance - Maximum potential return - (Value),Overall project finance - Configuration of the Contracting Parties - (Value),Overall project finance - Investor repayment - (Value),Overall project finance - Total outcome payments made - Currency - (Value),Overall project finance - Total outcome payments made - Amount - (Value),Overall project finance - Total outcome payments made - Amount USD - (Value),Overall project finance - (Source ID's),Overall project finance - (Notes),Investment Details - Total Funds Invested - Latest - Currency - (Value),Investment Details - Total Funds Invested - Latest - Amount - (Value),Investment Details - Total Funds Invested - Latest - Amount USD - (Value),Investment Details - Total Funds Invested - Latest - Date - (Value),Investment Details - Internal Rate of Return - Target - (Value),Investment Details - Internal Rate of Return - Latest - (Value),Investment Details - Internal Rate of Return - Date - (Value),Investment Details - (Source ID's),Investment Details - (Notes),Purpose and classifications - Social challenge - (Value),Purpose and classifications - Intervention - (Value),Purpose and classifications - Policy sector - (Value),Purpose and classifications - Primary SDG goal - (Value),Purpose and classifications - Secondary SDG goals - (Value),Purpose and classifications - Primary SDG target - (Value),Purpose and classifications - Secondary SDG targets - (Value),Purpose and classifications - (Source ID's),Purpose and classifications - (Notes),Service and beneficiaries - Target population - (Value),Service and beneficiaries - Targeted number of unique service users or beneficiaries (total) - (Value),Service and beneficiaries - Unit type of targeted service users or beneficiaries - (Value),Service and beneficiaries - Unit description of targeted service user or beneficiaries - (Value),Service and beneficiaries - Actual number of unique service users or beneficiaries engaged (total) - (Value),Service and beneficiaries - Unit type of actual service users or beneficiaries engaged - (Value),Service and beneficiaries - Unit description of actual service user or beneficiaries engaged - (Value),Service and beneficiaries - (Source ID's),Service and beneficiaries - (Notes),Changes to project due to COVID-19 - (Value),Changes to project due to COVID-19 - (Source ID's),Notes - (Value)
INDIGO-POJ-0173,Integrated Family Support Service (IFSS),,Implementation,source1,,2018-08,2020-04,2024-09,,2018-04,2027-03,,,,source1,,,,,GBP,,,,,,,GBP,5331000,,,,,Direct contract between outcome payer and provider,,,,,source1,,,,,,,,,,,"Children and young people in need or with child protection plans, drug and alcohol abuse","The project works with families who have children and young people identified as children in need or with child protection plans, and where parental drug and alcohol use is an indicator of risk. The project will reduce parental drug/alcohol use and improve parenting to avert children becoming subject to a Child Protection Plan or Looked After Child; allowing the repatriation of children with their families and improving parenting skills.",Child and family welfare,,,,,source1,,"Children in need, children subject to a Child Protection Plan and Looked After Children.",6233,Individual,,,,,,source1,Switch to grant payments based on medium scenarios,source1,
INDIGO-POJ-0174,ParentChild+,Mind the Gap,Implementation,source1,,2019-04,2019-05,2025-09,,2019-06,2023-05,,,,source1,,,,,GBP,,100000,,,127623.039,,GBP,1107287,,,,,Direct contract between outcome payer and provider,,,,,source1,,,,,,,,,,,"Education, school readiness",Narrow the gap in school readiness between vulnerable children and their better off peers through a Parent Child Home Programme.,Education,,,,,source1,,"Families with a child aged 2-3 in Kensington & Chelsea and Westminster who do not meet age related goals on speech and language, and social-personal skills assessed by the Ages and Stages Questionnaire during the national 2-year old checks. ",198,Individual,,,,,source1,,Switch to grant payments based on medium scenarios,source1,
INDIGO-POJ-0175,Kirklees Integrated Support Services,Kirklees Better Outcomes Partnership - KBOP,Implementation,source1,,2019-10,2019-09,2024-09,,2019-09,2024-09,,,,source1,,,,,GBP,3469613,,5875970,4428025.551147752,,7499091.483049451,GBP,22297917,,,,,Outcome payer holds contract with KBOP (Kirklees Better Outcomes Partnership) which is led by the investor,,,,,"source1,source2",,,,,,,,,,,"Drug and alcohol dependency, older age, homelessness and disability","Kirklees Better Outcomes Partnership (KBOP) was developed in 2019 to provide support to enable independent living and prevent homelessness by delivering better outcomes for individuals across Kirklees. The strengths of the KBOP partnership are their scale of delivery, shared expertise and participant focused approach. 
Commissioned by Kirklees Council with support from the Life Chances Fund, KBOP is a consortium of eight local organisations, each with expert levels of knowledge and experience across housing, homelessness prevention, domestic abuse, substance misuse, offending and mental health. Support Workers employ a holistic and strengths-based approach to ensure the individual leads their support, providing the space for independent decision making and shared ownership of interventions and actions. By listening, empowering and enabling individuals across Kirklees to achieve their unique ambitions, they support outcomes encompassing well-being, accommodation, employment and education",Homelessness,,,,,source1,,"The cohort will be people over the age of 16 who have vulnerabilities and support needs that may impact on their ability to live independently and who may, without support, be at increased risk of homelessness due to their disabilities, vulnerabilities, issues or lifestyle factors that increase this risk. They are, for example, people who are homeless, at risk of becoming homeless or with a history of repeat homelessness, offenders, people with mental health problems, learning disabilities, those that abuse substances, those at risk of domestic abuse, care leavers or young people at risk including young parents, refugees.",6300,Individual,,,,,source1,,Switch to grant payments based on medium scenarios,source1,
INDIGO-POJ-0176,Mental Health and Employment Social Impact Bond (Haringey & Barnet),MHEP Haringey and Barnet,Complete,source1,,2019-08,2019-04,,2023-04,2019-04,2023-04,,,,source1,,,,,GBP,,227000,,,289704.2985,,GBP,1439148,,,,,Outcome payer holds contract with Mental Health and Employment Partnership limited (led by intermediary),,,,,source1,,,,,,,,,,,"Employment, mental health","Individual Placement Support employment services. A tailored, client-centred employment intervention for people with chronic health conditions. It involves the integration of vocational advisers within health teams to optimise return-to-work.",Employment and training,,,,,source1,,Individuals with enduring and severe mental health issues,985,Individual,,985,,,source1,,Switch to grant payments based on medium scenarios,source1,
INDIGO-POJ-0177,Forward Outcomes Partnerships,Midlands Regional Pause Hub,Implementation,source1,,,2020-07,2026-09,,2020-02,2026-09,,,,source1,,,,,GBP,908000,,1787523,1126557.87,,2217784.2549075,GBP,5643426,,,,,"Intermediated. Outcome payer holds contract with Forward Outcomes Partnerships, which is owned by the investor",,,,,"source1,source2",,,,,,,,,,,Children at risk of going in to care,"Support women that have had, or are at risk of having, multiple children removed from their care",Child and family welfare,,,,,source1,,"Women who have experienced, or are at risk of experiencing, at least two episodes of care proceedings leading to the removal of one or more of their children into care",200,Individual,,,,,source1,,Continue on outcomes contract without variations,source1,
INDIGO-POJ-0178,Stronger Families Norfolk,,Implementation,source1,,2019-01,2019-01,2029-01,,2019-02,,,120,,source1,,,,,GBP,1200000,,2626871,,,,GBP,9576245,,,,,Intermediated. Outcome payer holds contract with social prime (led by investor),,,,,"source1,source2",Note on max potential outcome payment: 'Stronger Families Norfolk' does not have a cap in the number of outcomes that can be achieved and claimed for. We are sharing this figure as the funding coming from central government (DCMS) does have a limit. ,,,,,,,,,,Children on the edge of care or in care,"The intervention used is Family Functional Therapy – Child Welfare. It seeks to improve communication and supportiveness between parents or guardians and young people, while decreasing hostility.",Child and family welfare,,,,,source1,,Children and young people (C&YP) aged 6-15. There will be two target cohorts: Edge of Care cohort and In Care (reunifications),600,Other,families and young people,,,,source1,,Continue on outcomes contract without variations,source1,
INDIGO-POJ-0179,Opening Doors,The Bexley SIB,Complete,source1,,2020-01,2020-02,2024-09,,2019-11,2024-10,2021-06,,,source1,,,,,GBP,,470000,,,599828.2832,,GBP,1700822,,,,,Direct contract between outcome payer and provider,,,,,source1,,,,,,,,,,,Homelessness,"This proposal aims to reduce the numbers of single adults and childless couples at risk of homelessness living in temporary accommodation (TA), through delivery of individual support plans that will address an individual’s barriers to sustained housing",Homelessness,,,,,source1,,Single adults and childless couples at risk of homelessness living in temporary accommodation (TA),194,Individual,,31,Individual,,source1,The project withdrew from the Life Cahnces Fund programme in June 2021. ,Continue on outcomes contract without variations,source1,This project withdrew from the Life Chances Fund programme in June 2021. 
INDIGO-POJ-0180,Reducing the prevalence of mothers experiencing recurrent care proceedings,Pause,Implementation,source1,,2019-02,2019-04,2024-03,,2019-04,2023-09,,,,source1,,,,,GBP,594078,,901893,758180.39763042,,1151023.25512827,GBP,1623872,,,,,Direct contract between outcome payer and investor,,,,,"source1,source2",,,,,,,,,,,Children on the edge of care or in care,"Pause is an intensive, relationship-based support programme, delivered over 18 months.  The trauma informed support offered is practical (e.g. support accessing and engaging with benefit entitlement, debt advice, stable housing, primary care services – GP, dental, sexual health, etc), behavioural (e.g. development of behavioural regulation techniques, healthy relationships) and therapeutic (e.g. recovery from loss and trauma)",Child and family welfare,,,,,source1,,The target population is women of child bearing age who have experienced (or are at high risk of experiencing) a cycle of recurrent care proceedings leading to removal of their children into local authority care.,48,Individual,,,,,source1,,Continue on outcomes contract without variations,source1,
INDIGO-POJ-0181,Promoting Independence,Mental Health Accommodation,Implementation,source1,,2019-07,2019-09,2026-11,,2019-11,2026-11,,,,source1,,,,,GBP,,725000,,,925267.0326,,GBP,2744750,,,,,Intermediated contract with payments made through SPV (owned by investor) ,,,,,source1,,,,,,,,,,,"Mental health, independent living",Individual support to assist adults with mental health issues to live independently in the community,Homelessness,,,,,source1,,Adults within Sheffield who have mental health issues and are currently living in 24/7 residential care.,113,Individual,,,,,source1,,Continue on outcomes contract without variations,source1,
INDIGO-POJ-0182,Single Homeless Prevention Service (SHPS),Pan London ,Implementation,source1,,2019-09,2019-10,2025-03,,2019-07,2025-03,,,,source1,,,,,GBP,659101,,2357570,841164.72627939,,3008802.4805523,GBP,14615000,,,,,,,,,,source1,,,,,,,,,,,Homelessness,"Following the introduction of the Homelessness Reduction Act, Local Authorities now have a duty to support single people who are homeless or a risk of becoming homeless within 56 days. The Single Homeless Prevention Serivce (SHPS) was designed and launched to support Local Authorities deliver this support. The service aims to prevent or relieve homelessness through saving an existing tenancy or securing new accommodation. It then supports people to sustain that accommodation over time to ensure long term prevention of homelessness.   ",Homelessness,,,,,source1,,Single people who are homeless or at risk of becoming homeless,8937,Individual,,,,,source1,,Continue on outcomes contract without variations,source1,
INDIGO-POJ-0183,Stronger Families Suffolk,Outcomes Based Contract for Children at Risk of Care,Implementation,source1,,2019-03,2019-03,2026-01,,2019-03,,,,,"source1,source3",,,,,GBP,863865,,1751248,1102490.76585735,,2234995.91802672,GBP,6704975,,,,,Direct contract between outcome payer and provider,,,,,"source1,source3",,,,,,,,,,,Children and young people on the edge of care or in care,"Whole family-based intervention using Functional Family Therapy. It seeks to improve communication and supportiveness between parents or guardians and young people, while decreasing hostility. The intervention will reduce the number of older adolescents entering, and staying in care. This will be acomplished by:

- Intensive planned (and reactive) work by multi-disciplinary professionals working with the family network;
- trusted and sustained relationships between family and professionals;
- addresing the underlying issues of mental health, substance misuse, gangs, un-boundaried behaviour and acute family stress; and
- wrap-around support including full-time education/training/employment, respite care, positive activities and meeting the needs of adults.
",Child and family welfare,,,,,source1,, 8-16 years (17 year olds with agreement from Commissioner) at risk of entering care / reunification of children already in care.,542,Individual,,,,,"source1,source3",,Continue on outcomes contract without variations,source1,
